Concept,Member,Member type,Sort Weight
eef060d3-d503-4695-a9ba-47f5af44135b,369dd7ae-7d43-429e-b76e-bcf5baf4f4b2,concept-set,1
eef060d3-d503-4695-a9ba-47f5af44135b,c9337a50-074e-4deb-a100-e9da0598b72a,concept-set,2
eef060d3-d503-4695-a9ba-47f5af44135b,eaa5796d-0b1c-478b-8c9d-d23cf4c3bddc,concept-set,3
eef060d3-d503-4695-a9ba-47f5af44135b,4f344ae4-5817-4065-8c2a-e9f9f0b8560a,concept-set,4
eef060d3-d503-4695-a9ba-47f5af44135b,81aad3d5-0535-416a-a833-9079af068e3f,concept-set,5
eef060d3-d503-4695-a9ba-47f5af44135b,c3ed398c-eb30-43a4-8737-8ee3995daf7f,concept-set,6
eef060d3-d503-4695-a9ba-47f5af44135b,dd3aa98a-2230-4bfb-aabb-6be9a00ace87,concept-set,7
eef060d3-d503-4695-a9ba-47f5af44135b,d4d9c056-1a06-4a77-9a67-35ca2e9f98f5,concept-set,8
eef060d3-d503-4695-a9ba-47f5af44135b,a8a713f8-1350-11df-a1f1-0026b9348838,concept-set,9
eef060d3-d503-4695-a9ba-47f5af44135b,a6506baa-0b8e-49ff-9f65-37bf5716d08e,concept-set,10
eef060d3-d503-4695-a9ba-47f5af44135b,2faf20eb-2a94-4c91-86f6-c9e30aecff14,concept-set,11
eef060d3-d503-4695-a9ba-47f5af44135b,2bde812a-d990-4792-b651-f1a322433485,concept-set,12
eef060d3-d503-4695-a9ba-47f5af44135b,6297ed2a-c21e-4348-8315-d633065188d4,concept-set,13
eef060d3-d503-4695-a9ba-47f5af44135b,a747741e-562a-42bb-aa9c-bc2342cc5f42,concept-set,14
eef060d3-d503-4695-a9ba-47f5af44135b,11efa11d-16ed-48ba-baad-f9c09d710ae8,concept-set,15
,,,
